search_term,name,country,officers
BHP Billiton,Bhp Billiton Aluminium Limited,gb,"{""Gail Mcgrath"",""Ian Robert Jacobson"",""David Keith Richardson"",""Elizabeth Anne Hobley"",""Frances Julie Niven"",""Mary Taylor"",""Ines Lucia Watson"",""Deirdre Therese Doherty"",""Paul Michael Everard"",""Robert Norman Carew Franklin"",""Richard Derek Harvey"",""Elizabeth Anne Hobley"",""Paul Anthony Koppelman"",""Stephen Francis Mitchell"",""Christiaan Lourens Smit"",""William Broughton Smith"",""Mary Taylor"",""Jeremy Stephen Thomas"",""Ines Lucia Watson"",""Andrew Peter Story"",""Ines Lucia Watson"",""Stefano Giorgini"","" Hackwood Secretaries Limited"","" Hackwood Directors Limited""}"
BHP Billiton,Bhp Billiton Finance Plc,gb,"{""Angeli Gayfer"",""Andrew Peter Story"",""Hendrik Jan Bogers"",""Willem Johannes Murray"",""Antonello Persico"",""Michael John Rowe"",""Elizabeth Anne Hobley"",""Gail Mcgrath"",""Frances Julie Niven"",""David John Fletcher"",""Brendan Gerald Mulqueen"",""Fernando Fleury Salek"",""Adriaan Albertus Van Jaarsveld"",""Nigel Chadwick"",""Alison Kathleen Belot"",""Angeli Gayfer""}"
BHP Billiton,Bhp Billiton Group Limited,gb,"{""Gail Mcgrath"",""David John Flecther"",""Elizabeth Anne Hobley"",""Andrew Stewart Mackenzie"",""Willem Johannes Murray"",""Angeli Gayfer"",""Andrew Peter Story"",""Hendrik Jan Bogers"",""Frances Julie Niven"",""Mary Taylor"",""Ines Lucia Watson"",""Philip Stanley Aiken"",""Robert Norman Carew Franklin"",""John Douglas Kelso Grant"",""Richard Derek Harvey"",""Stephen Francis Mitchell"",""Brendan Gerald Mulqueen"",""Christiaan Lourens Smit"",""William Broughton Smith"",""Mary Taylor"",""Jeremy Stephen Thomas"",""Ines Lucia Watson"",""Randal John Clifton Barker"",""Alison Kathleen Belot"",""Angeli Gayfer"",""Nicholas Timothy Allen"",""Christiaan Michiel Norval"","" Hackwood Secretaries Limited"","" Hackwood Directors Limited""}"
BHP Billiton,Bhp Billiton Holdings Limited,gb,"{""Gail Mcgrath"",""David John Fletcher"",""Alexander John Hesketh"",""Gwen Jones"",""Catriona White"",""Andrew Peter Story"",""Hendrik Jan Bogers"",""Charlotte Elizabeth Gillan"",""Elizabeth Anne Hobley"",""Frances Julie Niven"",""Mary Taylor"",""Ines Lucia Watson"",""Hendre Ackermann"",""Robert Norman Carew Franklin"",""Richard Derek Harvey"",""Elizabeth Anne Hobley"",""Stephen Francis Mitchell"",""Brendan Gerald Mulqueen"",""Christiaan Lourens Smit"",""William Broughton Smith"",""Mary Taylor"",""Jeremy Stephen Thomas"",""Ines Lucia Watson"",""Peter Clinton Bright"",""Gwen Jones"",""Jacobus Adriaan Scholtz"",""Christiaan Michiel Norval"","" Hackwood Secretaries Limited"","" Hackwood Directors Limited""}"
BHP Billiton,Bhp Billiton International Services Limited,gb,"{""Gail Mcgrath"",""David John Fletcher"",""Alexander John Hesketh"",""Gwen Jones"",""Catriona White"",""Andrew Peter Story"",""Hendrik Jan Bogers"",""Charlotte Elizabeth Gillan"",""Elizabeth Anne Hobley"",""Frances Julie Niven"",""Mary Taylor"",""Ines Lucia Watson"",""Hendre Ackermann"",""Robert Norman Carew Franklin"",""Ian Cumming Fraser"",""Richard Derek Harvey"",""Elizabeth Anne Hobley"",""Hans Rudolf Lim A Po"",""Stephen Francis Mitchell"",""Brendan Gerald Mulqueen"",""Christiaan Lourens Smit"",""William Broughton Smith"",""Mary Taylor"",""Jeremy Stephen Thomas"",""Ines Lucia Watson"",""Peter Clinton Bright"",""Gwen Jones"",""Jacobus Adriaan Scholtz"","" Hackwood Secretaries Limited"","" Hackwood Directors Limited""}"
BLT,Blt,nl,{}
BLT,Blt,sg,{}
BLT,Blt,be,{}
BLT,Blt,be,{}
BLT,Blt 76 Limited,gb,{}
BP,Bp,dk,{}
BP,B.P.,be,{}
BP,B-P 2003 Limited,gb,"{""Guy Chalmers Benfield"",""Guy Chalmers Benfield"",""Michael Edwin Chase"",""David Maurice Eyers"",""Derek Lowman"",""Kevin George Willis"",""David Maurice Eyers"",""Constance Margaret Jackson"",""Christine Munn"",""Richard Munn"",""Jacqueline Elizabeth Page""}"
BP,B P (Abu Dhabi) Limited,gb,"{""John Harold Bartlett"",""Mohamed Wagih Shindy"",""George Leslie Wood"",""Yasin Stanley Ali"",""Robert Cameron Cumming"",""Janet Elvidge"",""Christopher Kuangcheng Gerald Eng"",""Roy Leslie Tooley"",""David Christopher Allen"",""Michael Christopher Daly"",""Wreford Timothy John Digings"",""Anne Drinkwater"",""Nigel Johnson Goddard"",""Anthony Bryan Hayward"",""Andrew George Inglis"",""Adam Charles Little"",""Nigel John Newby"",""Richard Lake Olver"",""Richard Leon Paniguian"",""Steven Graham Peacock"",""Charles Joseph Pitman"",""Guillermo Quintero Ordonez"",""Adrienne Christine Tallents"",""Jorge Manuel Da Silva Tavares"",""Michael Edmund Townshend"",""Paul Alan Hughes"","" Sunbury Secretaries Limited""}"
BP,"Bp ! Capital Holdings, Llc",us_de,{}
BW Offshore,Bw Offshore As,no,{}
BW Offshore,Bw Offshore Catcher (Uk) Limited,gb,"{"" Murray Donald Llp"",""Carl Krogh Arnet"",""Stuart Charles Bannerman"",""Alistair James Lang""}"
BW Offshore,Bw Offshore Global Manning Pte. Ltd.,sg,{}
BW Offshore,Bw Offshore Limited,bm,{}
BW Offshore,Bw Offshore Netherlands B.V.,nl,{}
Bluewater,Bluewater,be,{}
Bluewater,Bluewater 2 Limited,gb,"{""Ian Buchanan"",""Helen Ralston Mcneil Buchanan""}"
Bluewater,Bluewater 24/7 Cleaning & Maintenance Ltd,gb,"{""Sharon Margaret Johnson"",""Carl Rhys Briggs""}"
Bluewater,Bluewater 24/7 Property Services Limited,gb,"{""Sharon Margaret Johnson"",""Stephen Paul Briggs""}"
Bluewater,Bluewater Access Limited,gb,"{""Lee David Phillips""}"
Bourbon Offshore,Bourbon Offshore Asia Pte. Ltd.,sg,{}
Bourbon Offshore,"Bourbon Offshore Associates, Inc.",us_de,{}
Bourbon Offshore,Bourbon Offshore Dnt Asia Pte. Ltd.,sg,{}
Bourbon Offshore,Bourbon Offshore I As,no,{}
Bourbon Offshore,Bourbon Offshore I Ks,no,{}
CACT,"Cact Enterprises, Inc.",us_md,{}
CACT,"C.A.C.T. Enterprises, Llc",us_ct,"{""Peter J. Farley""}"
CACT,Cact Productions Llc,us_de,{}
CACT,"Cact Real Estate Investments, L.P.",us_tn,"{""David A Thornton""}"
CACT,"Cact Realty, Inc.",us_ca,{}
CAMAC Energy,Camac Energy Inc.,us_de,{}
CAMAC Energy,Camac Energy Inc.,us_ny,"{""Frank Ingriselli""}"
CAMAC Energy,Camac Energy (Uk) Limited,gb,"{""Thomas Clifford Pridmore"",""Thomas Clifford Pridmore"",""Zack Wilson""}"
CAMAC Energy,Camac Energy Public Limited Company,ie,{}
CDC,Cdc,us_pa,{}
CDC,Cdc,dk,{}
CDC,Cdc,be,{}
CDC,Cdc,be,{}
CDC,Cdc,be,{}
CNOOC,Cnooc Africa (Uk) Limited,gb,"{""Tianxu Duan"",""Caiyun Zhang"",""Tianxu Duan"",""Zhizhong Wang"",""Zongwei Xiao"",""Likun Kuang"",""Likun Kuang"",""Zhuobiao Chen"",""Gang Zhang"","" F&L Cosec Limited"","" Abogado Nominees Limited"","" F&L Legal Llp"","" The Company Registration Agents Limited"","" Abogado Custodians Limited"","" Abogado Nominees Limited"","" Luciene James Limited""}"
CNOOC,Cnooc Uk Limited,gb,"{""Sheila Kaul"",""Lewis Trenear Harvey"",""Archibald Wood Kennedy"",""Ian Alexander David Macaulay"",""Marilyn Joy Schonberner"",""Likun Kuang"",""Bing Zhang"",""Theresa Ann Roessel"","" F&L Legal Llp""}"
CNOOC,Cnooc Belgium,be,{}
CNOOC,Cnooc Canada Holding Ulc,ca_ns,{}
CNOOC,Cnooc Canada Inc.,ca,"{""David Lefebvre"",""Fang Zhi"",""Sheng Jianbo"",""Zheng Li""}"
CNR International,Cnr International,fi,{}
CNR International,Cnr International (Trustees) Limited,gb,"{""Findlay Iain Anderson"",""William David Redvers Bell"",""Barry Duncan"",""Allen Matthew Knight"",""John Graham Langille"",""David Stewart Ogilvie"",""Barry Duncan"",""Alexander William Hart"",""Paul Henry Morris"",""Adela Prior"",""Gregory George Adams"",""Melanie Jayne Booth"",""Martin Cole"",""Philip Anthony Dimmock"",""Alan Brodie Henderson"",""Robert William Mccrackin"",""Steven Parker O Reardon"",""Kenneth Paul Seymour"",""William Walter Stiles"",""Stephen Wilson Laut"",""Tim Shawn Mckay"","" London Law Secretarial Limited"","" London Law Services Limited""}"
CNR International,Cnr International (U.K.) Developments Limited,gb,"{""Findlay Iain Anderson"",""William David Redvers Bell"",""Barry Duncan"",""James Andrew Edens"",""David Martin Haywood"",""Allen Matthew Knight"",""John Graham Langille"",""David Stewart Ogilvie"",""Paul Henry Morris"",""Adela Prior"",""Gregory George Adams"",""Martin Cole"",""Robert William Conrad"",""Philip Anthony Dimmock"",""Alan John Dingley"",""Alan Brodie Henderson"",""Hans Ernst Hentschel"",""Fritz Neuwelier"",""Franz Nieberding"",""Malcolm Hood Pattinson"",""Kenneth Paul Seymour"",""Rodney Neil Terry Short"",""Paul Murray Simpson"",""William Walter Stiles"",""Georg Von Hantelmann"",""Barry Duncan"",""Stephen Wilson Laut"",""Tim Shawn Mckay"",""Andrew Michael Mcboyle"",""David Benjamin Whitehouse"","" Clifford Chance Secretaries Limited""}"
CNR International,Cnr International (U.K.) Investments Limited,gb,"{""Findlay Iain Anderson"",""William David Redvers Bell"",""Barry Duncan"",""James Andrew Edens"",""David Martin Haywood"",""Allen Matthew Knight"",""John Graham Langille"",""David Stewart Ogilvie"",""Alexander William Hart"",""Paul Gregory Hrycyszyn"",""Paul Henry Morris"",""Adela Prior"",""Gregory George Adams"",""Martin Cole"",""Philip Anthony Dimmock"",""Alan John Dingley"",""Frederick John Dyment"",""William John Romaine Govett"",""Alan Brodie Henderson"",""Robert William Mccrackin"",""Peter H Morrison"",""Malcolm Hood Pattinson"",""Kenneth Paul Seymour"",""William Walter Stiles"",""Lionel Geoffrey Stopford Sackville"",""George Vincent Wood"",""Barry Duncan"",""Stephen Wilson Laut"",""Kenneth Paul Seymour"",""Tim Shawn Mckay"",""Andrew Michael Mcboyle"",""David Benjamin Whitehouse""}"
CNR International,Cnr International (U.K.) Limited,gb,"{""Findlay Iain Anderson"",""William David Redvers Bell"",""Barry Duncan"",""James Andrew Edens"",""David Martin Haywood"",""Allen Matthew Knight"",""John Graham Langille"",""David Stewart Ogilvie"",""Alexander William Hart"",""Paul Gregory Hrycyszyn"",""Paul Henry Morris"",""David Geoffrey Pearce"",""Adela Prior"",""Gregory George Adams"",""Martin Cole"",""John Michael D'Aguiar"",""Philip Anthony Dimmock"",""Alan John Dingley"",""Frederick John Dyment"",""Robin Anthony French"",""William John Romaine Govett"",""Arthur George Hall"",""Alan Brodie Henderson"",""Peter Julian Hill"",""Philip Dale Irwin"",""Robert William Mccrackin"",""Peter H Morrison"",""Malcolm Hood Pattinson"",""John Michael Pierce"",""Barry Duncan"",""Stephen Wilson Laut"",""Tim Shawn Mckay"",""Andrew Michael Mcboyle"",""David Benjamin Whitehouse""}"
Cairn Energy,Cairn Energy Andhra Pradesh B.V.,nl,{}
Cairn Energy,Cairn Energy Andhra Pradesh Deepwater B.V.,nl,{}
Cairn Energy,Cairn Energy Andhra Pradesh Holding B.V.,nl,{}
Cairn Energy,Cairn Energy Bangladesh Block 10 B.V.,nl,{}
Cairn Energy,Cairn Energy Bangladesh Block 15 B.V.,nl,{}
Cardiff,Cardiff,be,{}
Cardiff,Cardiff,be,{}
Cardiff,Cardiff 7S Ltd,gb,"{""Alex Bodin""}"
Cardiff,Cardiff Academic Press Limited,gb,"{""Joan Smith"",""Joan Smith"",""Heather Clare Williams"",""Harry Drake"",""Richard Bleddyn Vaughan Rees"",""Harry Drake"",""Norman Drake"",""Robert Geoffrey Drake"",""Gillian Anne Watkins""}"
Cardiff,Cardiff Academy Limited,gb,"{""Roger Picton Howells"",""Jennifer Ann Davies"",""Stephen Robert Wilson"","" Severnside Secretarial Limited"","" Severnside Nominees Limited""}"
Chevron,Chevron,ca_qc,{}
Chevron,Chevron 360 Limited,gb,"{""Helen Kathleen Bashford-Malkie"",""Peter Hackett"",""James Malkie""}"
Chevron,Chevron Aerospace (Engineering) Limited,gb,"{""Nicola Jayne Swinscoe"",""John William Swinscoe"",""Nicola Jayne Swinscoe"","" @Ukplc Client Secretary Ltd"","" @Ukplc Client Director Ltd""}"
Chevron,Chevron Aerospace Limited,gb,"{""Nicola Jayne Swinscoe"",""John William Swinscoe"",""Nicola Jayne Swinscoe"",""Diane Elizabeth Barnsdale"","" @Ukplc Client Secretary Ltd"","" @Ukplc Client Director Ltd""}"
Devon Energy,Devon Energy Solutions Ltd,gb,"{""Edwina Coales"",""Ekaterina Gordeycheva"",""Ekaterina Gordeycheva"","" Nominee Secretary Ltd"","" Nominee Director Ltd""}"
Devon Energy,"Devon Energy Brazil Holdings, Ltd.",bs,{}
Chevron,Chevron Aerostructures Limited,gb,"{""Monika Anna Frankow"",""Sean Colin Barrett"",""Roger Paul Becker"",""Steven Craig Blackmore"",""Roger Anthony Cooke"",""Shawn Hagel"",""Russell Scott Pattee"",""Kevin Michael Stein"",""David Waring"",""David Abdoo"",""Vincent Ashe"",""Julian Patrick Bird"",""Nigel Charles Poultney"",""John William Swinscoe"",""Michael Raymond Wallis"",""Vincent Ashe"",""David John Coghlan"",""James Digiacomo Dee"",""Mark Donegan"",""Michael H S Dunlop"",""Stephen Derrick Eldred"",""Geoffrey A Hawkes"",""Matthew Joseph Kearney"",""Michael David Kirk"",""William Dean Larsson"",""Haydn Robert Martin"",""John Morrash"",""Leonard Albert Pearson"",""Geoffrey Roy Rampton"",""Kenneth Reed"",""Mark R Roskopf"",""Jeff Sandiford"",""William Martin Shockley"",""Tony Skillington"",""Ruth Ann Beyer""}"
ConocoPhillips,Conocophillips Dc Plan Trustee Limited,gb,"{""Rosemary Dick"",""Kevin Ford""}"
