id,owner,source_uri,field_operator,scrape_id,capacity,operator,rig_id,name,scrape_date,site,location_field,country,detail_uri,rated_water_depth,manager,drilling_depth,rig_type,top drive,rig design,current_water_depth,region,derrick,rig_design,rotary table,mud pumps,ship_type,flag,operating_status,competitive_rig,drawworks,delivery year,classification,shipyard
1,Prosafe,http://fpso.com/fpso/?page=1,Nigerian Agip Exploration,pigUztOx,932,Prosafe,ABO,ABO,2014-09-18 18:56:16.286632,FPSO,Abo,Nigeria,http://fpso.com/fpso/1/,,,,,,,,,,,,,,,,,,,,
2,Chevron,http://fpso.com/fpso/?page=1,NNPC,pigUztOx,1800,Star Deepwater JV,AGBAMI,AGBAMI,2014-09-18 18:56:16.286632,FPSO,"Agbami OPL 216, 217",Nigeria,http://fpso.com/fpso/2/,,,,,,,,,,,,,,,,,,,,
3,Total,http://fpso.com/fpso/?page=1,Total,pigUztOx,2000,Total,AKPO,AKPO,2014-09-18 18:56:16.286632,FPSO,"Akpo OPL 246, OML-130",Nigeria,http://fpso.com/fpso/3/,,,,,,,,,,,,,,,,,,,,
4,Maersk,http://fpso.com/fpso/?page=1,Marathon,pigUztOx,560,Maersk,ALVHEIM,ALVHEIM,2014-09-18 18:56:16.286632,FPSO,Alvheim,Norway,http://fpso.com/fpso/5/,,,,,,,,,,,,,,,,,,,,
5,Zaafarana Oil Company,http://fpso.com/fpso/?page=1,Zaafarana Oil Company,pigUztOx,800,Prosafe,AL ZAAFARANA,AL ZAAFARANA,2014-09-18 18:56:16.286632,FPSO,Zaafarana Block BN 1,Egypt,http://fpso.com/fpso/4/,,,,,,,,,,,,,,,,,,,,
6,Shell,http://fpso.com/fpso/?page=1,Shell,pigUztOx,2000,Shell,ANASURIA,ANASURIA,2014-09-18 18:56:16.286632,FPSO,"Teal, Teal South, Guillemot A, Cook",United Kingdom of Great Britain and Northern Ireland,http://fpso.com/fpso/6/,,,,,,,,,,,,,,,,,,,,
7,MODEC,http://fpso.com/fpso/?page=1,BP,pigUztOx,2000,MODEC,ANGOLA PSVM,ANGOLA PSVM,2014-09-18 18:56:16.286632,FPSO,"Block 31 NE - Plutao, Saturno, Venus, Mars",Angola,http://fpso.com/fpso/7/,,,,,,,,,,,,,,,,,,,,
8,Premier Oil,http://fpso.com/fpso/?page=1,Premier Oil,pigUztOx,550,Premier Oil,ANOA NATUNA,ANOA NATUNA,2014-09-18 18:56:16.286632,FPSO,Anoa Block A,Indonesia,http://fpso.com/fpso/8/,,,,,,,,,,,,,,,,,,,,
9,Bluewater,http://fpso.com/fpso/?page=1,Nexen,pigUztOx,600,Bluewater,AOKA MIZU,AOKA MIZU,2014-09-18 18:56:16.286632,FPSO,"Ettrick Field, North Sea",United Kingdom of Great Britain and Northern Ireland,http://fpso.com/fpso/9/,,,,,,,,,,,,,,,,,,,,
10,Burmi Armada,http://fpso.com/fpso/?page=1,AMNI International,pigUztOx,400,Burmi Armada,ARMADA PERKASA,ARMADA PERKASA,2014-09-18 18:56:16.286632,FPSO,Okoro-Setu,Nigeria,http://fpso.com/fpso/10/,,,,,,,,,,,,,,,,,,,,
11,StatoilHydro,http://fpso.com/fpso/?page=1,StatoilHydro/Saga Petroleum,pigUztOx,920,StatoilHydro,ÅSGARD A,ÅSGARD A,2014-09-18 18:56:16.286632,FPSO,Åsgard,Norway,http://fpso.com/fpso/11/,,,,,,,,,,,,,,,,,,,,
12,Prosafe,http://fpso.com/fpso/?page=1,Murphy West Africa,pigUztOx,1400, ,AZURITE FDPSO,AZURITE FDPSO,2014-09-18 18:56:16.286632,FPSO,Pointe Noire,Congo,http://fpso.com/fpso/12/,,,,,,,,,,,,,,,,,,,,
13,MODEC,http://fpso.com/fpso/?page=1,CNR International,pigUztOx,2000,MODEC,BAOBAB IVOIRIEN MV 10,BAOBAB IVOIRIEN MV 10,2014-09-18 18:56:16.286632,FPSO,Baobab, ,http://fpso.com/fpso/14/,,,,,,,,,,,,,,,,,,,,
14,Vietsovpetro,http://fpso.com/fpso/?page=1,Vietsovpetro,pigUztOx,1100,Vietsovpetro,BA VI,BA VI,2014-09-18 18:56:16.286632,FPSO,Dragon Block 9/16,Viet Nam,http://fpso.com/fpso/13/,,,,,,,,,,,,,,,,,,,,
15,SBMO,http://fpso.com/fpso/?page=1,Shell,pigUztOx,2000,SBMO,BC-10 FPSO,BC-10 FPSO,2014-09-18 18:56:16.286632,FPSO,Parque das Conchas,Brazil,http://fpso.com/fpso/15/,,,,,,,,,,,,,,,,,,,,
16,ConocoPhillips,http://fpso.com/fpso/?page=1,ConocoPhillips,pigUztOx,880,ConocoPhillips,BELANAK,BELANAK,2014-09-18 18:56:16.286632,FPSO,Belanak West Natuna Block B,Indonesia,http://fpso.com/fpso/16/,,,,,,,,,,,,,,,,,,,,
17,BW Offshore,http://fpso.com/fpso/?page=1,Woodside,pigUztOx,1650,ABB,BERGE HELENE,BERGE HELENE,2014-09-18 18:56:16.286632,FPSO,Chinguetti Field,Mauritania,http://fpso.com/fpso/17/,,,,,,,,,,,,,,,,,,,,
18,BW Offshore,http://fpso.com/fpso/?page=1,Shell,pigUztOx,472,BW Offshore,BERGE OKOLOBA TORU LPG,BERGE OKOLOBA TORU LPG,2014-09-18 18:56:16.286632,FPSO,Bonny River,Nigeria,http://fpso.com/fpso/18/,,,,,,,,,,,,,,,,,,,,
19,Bluewater,http://fpso.com/fpso/?page=1,Talisman (Blake f. operated by BG),pigUztOx,657,Talisman,BLEO HOLM,BLEO HOLM,2014-09-18 18:56:16.286632,FPSO,"Ross, Parry, Blake",United Kingdom of Great Britain and Northern Ireland,http://fpso.com/fpso/19/,,,,,,,,,,,,,,,,,,,,
20,CNOOC,http://fpso.com/fpso/?page=1,ConocoPhillips,pigUztOx,1000,ConocoPhillips/CNOOC,BOHAI MING ZHU,BOHAI MING ZHU,2014-09-18 18:56:16.286632,FPSO,Penglai 19-3 Block 11/05,China,http://fpso.com/fpso/20/,,,,,,,,,,,,,,,,,,,,
21,CNOOC,http://fpso.com/fpso/?page=2,CNOOC,pigUztOx,390,CNOOC,BOHAI SHI JI (BOHAI CENTURY),BOHAI SHI JI (BOHAI CENTURY),2014-09-18 18:56:16.286632,FPSO,Quinhuangdao 32-6,China,http://fpso.com/fpso/21/,,,,,,,,,,,,,,,,,,,,
22,CNOOC,http://fpso.com/fpso/?page=2,CNOOC,pigUztOx,1100,CNOOC,BOHAI YOU YI HAO,BOHAI YOU YI HAO,2014-09-18 18:56:16.286632,FPSO,Bozhong 28-1,China,http://fpso.com/fpso/22/,,,,,,,,,,,,,,,,,,,,
23,Shell,http://fpso.com/fpso/?page=2,Shell,pigUztOx,1400,Shell,BONGA,BONGA,2014-09-18 18:56:16.286632,FPSO,Bonga,Nigeria,http://fpso.com/fpso/23/,,,,,,,,,,,,,,,,,,,,
24,Bourbon Offshore,http://fpso.com/fpso/?page=2,PEMEX,pigUztOx,306,Bourbon Offshore,BOURBON OPALE,BOURBON OPALE,2014-09-18 18:56:16.286632,FPSO,Various,Mexico,http://fpso.com/fpso/24/,,,,,,,,,,,,,,,,,,,,
25,JV - SBMO/ Partner,http://fpso.com/fpso/?page=2,Petrobras,pigUztOx,1700,SBMO+JV Partner,BRASIL,BRASIL,2014-09-18 18:56:16.286632,FPSO,Roncador,Brazil,http://fpso.com/fpso/25/,,,,,,,,,,,,,,,,,,,,
26,Berlian Laju Tanker (BLT),http://fpso.com/fpso/?page=2,Pertamina/ PetroChina,pigUztOx,400,BLT,BROTOJOYO,BROTOJOYO,2014-09-18 18:56:16.286632,FPSO,Salawati,Indonesia,http://fpso.com/fpso/26/,,,,,,,,,,,,,,,,,,,,
27,MISC,http://fpso.com/fpso/?page=2,Petronas,pigUztOx,619,FVSB,BUNGA KERTAS - LUKUT,BUNGA KERTAS - LUKUT,2014-09-18 18:56:16.286632,FPSO,Penara,Malaysia,http://fpso.com/fpso/27/,,,,,,,,,,,,,,,,,,,,
28,BW Offshore,http://fpso.com/fpso/?page=2,StatoilHydro,pigUztOx,400,BW Offshore,BW CARMEN,BW CARMEN,2014-09-18 18:56:16.286632,FPSO,Bressay,United Kingdom of Great Britain and Northern Ireland,http://fpso.com/fpso/28/,,,,,,,,,,,,,,,,,,,,
29,BW Offshore,http://fpso.com/fpso/?page=2,Petrobras,pigUztOx,1000,BW Offshore,BW PEACE,BW PEACE,2014-09-18 18:56:16.286632,FPSO,Tupi,Brazil,http://fpso.com/fpso/29/,,,,,,,,,,,,,,,,,,,,
30,BW Offshore,http://fpso.com/fpso/?page=2,Petrobras,pigUztOx,600,BW Offshore,BW PIONEER,BW PIONEER,2014-09-18 18:56:16.286632,FPSO,"Cascade, Chinook", ,http://fpso.com/fpso/30/,,,,,,,,,,,,,,,,,,,,
31,SBMO,http://fpso.com/fpso/?page=2,Petrobras,pigUztOx,1600,SBMO,CAPIXABA,CAPIXABA,2014-09-18 18:56:16.286632,FPSO,Golfinho,Brazil,http://fpso.com/fpso/31/,,,,,,,,,,,,,,,,,,,,
32,Chevron,http://fpso.com/fpso/?page=2,Chevron,pigUztOx,849,Chevron,CAPTAIN,CAPTAIN,2014-09-18 18:56:16.286632,FPSO,"Captain A,B,C",United Kingdom of Great Britain and Northern Ireland,http://fpso.com/fpso/32/,,,,,,,,,,,,,,,,,,,,
33,Coogee,http://fpso.com/fpso/?page=2,Coogee,pigUztOx,2200,Coogee,CHALLIS VENTURE,CHALLIS VENTURE,2014-09-18 18:56:16.286632,FPSO,"Challis, Cassini",Australia,http://fpso.com/fpso/33/,,,,,,,,,,,,,,,,,,,,
34,CNOOC,http://fpso.com/fpso/?page=2,CNOOC,pigUztOx,390,CNOOC,CHANG QING HAO (CNOOC 102),CHANG QING HAO (CNOOC 102),2014-09-18 18:56:16.286632,FPSO,Bozhong 34/1,China,http://fpso.com/fpso/34/,,,,,,,,,,,,,,,,,,,,
35,Vietsovpetro,http://fpso.com/fpso/?page=2,Vietsovpetro,pigUztOx,975,Vietsovpetro,CHI LINH,CHI LINH,2014-09-18 18:56:16.286632,FPSO,White Tiger,Viet Nam,http://fpso.com/fpso/35/,,,,,,,,,,,,,,,,,,,,
36,MODEC,http://fpso.com/fpso/?page=2,Petrobras,pigUztOx,1600,MODEC,CIDADE DE ANGRA dos REIS MV22,CIDADE DE ANGRA dos REIS MV22,2014-09-18 18:56:16.286632,FPSO,Tupi,Brazil,http://fpso.com/fpso/36/,,,,,,,,,,,,,,,,,,,,
37,MODEC,http://fpso.com/fpso/?page=2,Petrobras,pigUztOx,1600,MODEC,CIDADE DE NITEROI MV 18 (Opportunity Oil),CIDADE DE NITEROI MV 18 (Opportunity Oil),2014-09-18 18:56:16.286632,FPSO,Jabuti in Campos Basin,Brazil,http://fpso.com/fpso/37/,,,,,,,,,,,,,,,,,,,,
38,MODEC,http://fpso.com/fpso/?page=2,Petrobras,pigUztOx,1600,MODEC,CIDADE DE RIO DE JANIERO MV14,CIDADE DE RIO DE JANIERO MV14,2014-09-18 18:56:16.286632,FPSO,Espadarte Sul Field,Brazil,http://fpso.com/fpso/38/,,,,,,,,,,,,,,,,,,,,
39,MODEC,http://fpso.com/fpso/?page=2,Petrobras,pigUztOx,700,MODEC,CIDADE DE SANTOS MV 20,CIDADE DE SANTOS MV 20,2014-09-18 18:56:16.286632,FPSO,"Urugua, Tambaú",Brazil,http://fpso.com/fpso/39/,,,,,,,,,,,,,,,,,,,,
40,Prosafe,http://fpso.com/fpso/?page=2,Petrobras,pigUztOx,700,Prosafe,CIDADE DE SAO MATEUS,CIDADE DE SAO MATEUS,2014-09-18 18:56:16.286632,FPSO,Camarupim,Brazil,http://fpso.com/fpso/40/,,,,,,,,,,,,,,,,,,,,
41,Saipem,http://fpso.com/fpso/?page=3,Petrobras,pigUztOx,1900,Saipem,CIDADE DE VITORIA (GOLFINHO II),CIDADE DE VITORIA (GOLFINHO II),2014-09-18 18:56:16.286632,FPSO,Golfi nho,Brazil,http://fpso.com/fpso/41/,,,,,,,,,,,,,,,,,,,,
42,Teekay Petrojarl,http://fpso.com/fpso/?page=3,Petrobras,pigUztOx,214,Teekay Petrojarl,CIDADE RIO DAS OSTRAS,CIDADE RIO DAS OSTRAS,2014-09-18 18:56:16.286632,FPSO,Badejo,Brazil,http://fpso.com/fpso/42/,,,,,,,,,,,,,,,,,,,,
43,Perenco,http://fpso.com/fpso/?page=3,Perenco,pigUztOx,1420,Perenco,CONKOUATI,CONKOUATI,2014-09-18 18:56:16.286632,FPSO,Yombo,Congo,http://fpso.com/fpso/43/,,,,,,,,,,,,,,,,,,,,
44,JV - North West Shelf,http://fpso.com/fpso/?page=3,Woodside Energy,pigUztOx,1160,Woodside Energy,COSSACK PIONEER,COSSACK PIONEER,2014-09-18 18:56:16.286632,FPSO,"Cossack, Wanaea, Lambert, Hermes",Australia,http://fpso.com/fpso/44/,,,,,,,,,,,,,,,,,,,,
45,Sea Production Ltd,http://fpso.com/fpso/?page=3,Anzon,pigUztOx,300,AGR,CRYSTAL OCEAN,CRYSTAL OCEAN,2014-09-18 18:56:16.286632,FPSO,"Basker, Manta, Gummy",Australia,http://fpso.com/fpso/45/,,,,,,,,,,,,,,,,,,,,
46,Cuu Long JV,http://fpso.com/fpso/?page=3,Cuu Long JV,pigUztOx,900,MODEC,CUULONG MV9 (SU TU DEN),CUULONG MV9 (SU TU DEN),2014-09-18 18:56:16.286632,FPSO,"Cuu Long Basin (Black Lion), Block 15-1",Viet Nam,http://fpso.com/fpso/46/,,,,,,,,,,,,,,,,,,,,
47,Total,http://fpso.com/fpso/?page=3,Total,pigUztOx,916,Total,DALIA,DALIA,2014-09-18 18:56:16.286632,FPSO,Dalia,Angola,http://fpso.com/fpso/47/,,,,,,,,,,,,,,,,,,,,
48,FPS Ocean,http://fpso.com/fpso/?page=3, ,pigUztOx,480,FPS Ocean,DEEP PRODUCER 1,DEEP PRODUCER 1,2014-09-18 18:56:16.286632,FPSO, , ,http://fpso.com/fpso/48/,,,,,,,,,,,,,,,,,,,,
49,FPS Ocean,http://fpso.com/fpso/?page=3, ,pigUztOx,600,FPS Ocean,DEEP PRODUCER 2,DEEP PRODUCER 2,2014-09-18 18:56:16.286632,FPSO, , ,http://fpso.com/fpso/49/,,,,,,,,,,,,,,,,,,,,
50,Aker Floating Production,http://fpso.com/fpso/?page=3,Reliance,pigUztOx,1300,Aker Borgestad Operations,DHIRUBHAI-1 (AKER SMART 1),DHIRUBHAI-1 (AKER SMART 1),2014-09-18 18:56:16.286632,FPSO,MA-D6,India,http://fpso.com/fpso/50/,,,,,,,,,,,,,,,,,,,,
51,PA Resources,http://fpso.com/fpso/?page=3,PA Resources,pigUztOx,500,PA Resources,DIDON,DIDON,2014-09-18 18:56:16.286632,FPSO,Didon,Tunisia,http://fpso.com/fpso/51/,,,,,,,,,,,,,,,,,,,,
52,DPI,http://fpso.com/fpso/?page=3,Petrobras,pigUztOx,300,DPI,DYNAMIC PRODUCER,DYNAMIC PRODUCER,2014-09-18 18:56:16.286632,FPSO,Several,Brazil,http://fpso.com/fpso/52/,,,,,,,,,,,,,,,,,,,,
53,Songa Floating Production,http://fpso.com/fpso/?page=3, ,pigUztOx,1050,Songa Floating Production,EAST CHALLENGE,EAST CHALLENGE,2014-09-18 18:56:16.286632,FPSO, , ,http://fpso.com/fpso/53/,,,,,,,,,,,,,,,,,,,,
54,Songa Floating Production,http://fpso.com/fpso/?page=3, ,pigUztOx,1050,Songa Floating Production,EAST COMMANDER,EAST COMMANDER,2014-09-18 18:56:16.286632,FPSO, , ,http://fpso.com/fpso/54/,,,,,,,,,,,,,,,,,,,,
55,Songa Floating Production,http://fpso.com/fpso/?page=3, ,pigUztOx,460,Songa Floating Production,EAST FORTUNE,EAST FORTUNE,2014-09-18 18:56:16.286632,FPSO, , ,http://fpso.com/fpso/55/,,,,,,,,,,,,,,,,,,,,
56,Songa Floating Production,http://fpso.com/fpso/?page=3, ,pigUztOx,1050,Songa Floating Production,EAST VENTURE,EAST VENTURE,2014-09-18 18:56:16.286632,FPSO, , ,http://fpso.com/fpso/56/,,,,,,,,,,,,,,,,,,,,
57,ExxonMobil,http://fpso.com/fpso/?page=3,ExxonMobil,pigUztOx,2200,Esso,ERHA,ERHA,2014-09-18 18:56:16.286632,FPSO,Niger Delta OPL 209,Nigeria,http://fpso.com/fpso/57/,,,,,,,,,,,,,,,,,,,,
58,SBMO,http://fpso.com/fpso/?page=3,Petrobras,pigUztOx,1900,SBMO,ESPADARTE,ESPADARTE,2014-09-18 18:56:16.286632,FPSO,Espadarte & Marimba,Brazil,http://fpso.com/fpso/58/,,,,,,,,,,,,,,,,,,,,
59,Prosafe,http://fpso.com/fpso/?page=3,CNRL International,pigUztOx,1100,Prosafe,ESPOIR IVOIRIEN,ESPOIR IVOIRIEN,2014-09-18 18:56:16.286632,FPSO,"CI-26, Abidjan", ,http://fpso.com/fpso/59/,,,,,,,,,,,,,,,,,,,,
60,SBM,http://fpso.com/fpso/?page=3, ,pigUztOx,100,ExxonMobil,Falcon,Falcon,2014-09-18 18:56:16.286632,FPSO,Yoho field,Nigeria,http://fpso.com/fpso/177/,,,,,,,,,,,,,,,,,,,,
61,Total,http://fpso.com/fpso/?page=4,Total,pigUztOx,1900,Exmar,FARWAH (Note 4),FARWAH (Note 4),2014-09-18 18:56:16.286632,FPSO,Al Jurf Block C137,Libyan Arab Jamahiriya,http://fpso.com/fpso/60/,,,,,,,,,,,,,,,,,,,,
62,CNOOC,http://fpso.com/fpso/?page=4,Devon Energy,pigUztOx,990,CNOOC,FEN JIN HAO,FEN JIN HAO,2014-09-18 18:56:16.286632,FPSO,"Ursa (Panyu 4-2), Bootes (Panyu 5-1)",China,http://fpso.com/fpso/61/,,,,,,,,,,,,,,,,,,,,
63,Shell,http://fpso.com/fpso/?page=4,Shell,pigUztOx,1300,MODEC,FLUMINENSE FPSO (Note 5),FLUMINENSE FPSO (Note 5),2014-09-18 18:56:16.286632,FPSO,"Bijupira, Salema",Brazil,http://fpso.com/fpso/62/,,,,,,,,,,,,,,,,,,,,
64,Premuda,http://fpso.com/fpso/?page=4,ENI Agip,pigUztOx,600,Premuda,FOUR VANGUARD (WOOLLYBUTT),FOUR VANGUARD (WOOLLYBUTT),2014-09-18 18:56:16.286632,FPSO,"Woollybutt, Scalybutt",Australia,http://fpso.com/fpso/63/,,,,,,,,,,,,,,,,,,,,
65,SBM,http://fpso.com/fpso/?page=4, ,pigUztOx,8,Petrobras,FPSO II,FPSO II,2014-09-18 18:56:16.286632,FPSO,Marlim,Brazil,http://fpso.com/fpso/189/,,,,,,,,,,,,,,,,,,,,
66,Chevron,http://fpso.com/fpso/?page=4,Chevron,pigUztOx,1500,SBMO,FRADE,FRADE,2014-09-18 18:56:16.286632,FPSO,Frade BC-4,Brazil,http://fpso.com/fpso/64/,,,,,,,,,,,,,,,,,,,,
67,Sea Production Ltd,http://fpso.com/fpso/?page=4,AED Oil Limited,pigUztOx,770,Aibel,FRONT PUFFIN,FRONT PUFFIN,2014-09-18 18:56:16.286632,FPSO,"Puffin Field,NW Australia",Australia,http://fpso.com/fpso/65/,,,,,,,,,,,,,,,,,,,,
68,Saipem,http://fpso.com/fpso/?page=4,Sonangol,pigUztOx,1800,Saipem,GIMBOA,GIMBOA,2014-09-18 18:56:16.286632,FPSO,Gimboa,Angola,http://fpso.com/fpso/66/,,,,,,,,,,,,,,,,,,,,
69,Total,http://fpso.com/fpso/?page=4,Total,pigUztOx,525,Total,GIRASSOL,GIRASSOL,2014-09-18 18:56:16.286632,FPSO,"Girassol, Jasmim Block 17, Rosa (Future)",Angola,http://fpso.com/fpso/67/,,,,,,,,,,,,,,,,,,,,
70,Bluewater,http://fpso.com/fpso/?page=4,PetroSA/Pioneer Natural Resources,pigUztOx,585,Bluewater,GLAS DOWR,GLAS DOWR,2014-09-18 18:56:16.286632,FPSO,Sable,South Africa,http://fpso.com/fpso/68/,,,,,,,,,,,,,,,,,,,,
71,Maersk,http://fpso.com/fpso/?page=4,Maersk,pigUztOx,510,Maersk,GLOBAL PRODUCER (GRYPHON A),GLOBAL PRODUCER (GRYPHON A),2014-09-18 18:56:16.286632,FPSO,"Gryphon, Maclure, Tullich",United Kingdom of Great Britain and Northern Ireland,http://fpso.com/fpso/69/,,,,,,,,,,,,,,,,,,,,
72,Maersk,http://fpso.com/fpso/?page=4,Maersk,pigUztOx,510,Maersk,GLOBAL PRODUCER III,GLOBAL PRODUCER III,2014-09-18 18:56:16.286632,FPSO,Dumbarton,United Kingdom of Great Britain and Northern Ireland,http://fpso.com/fpso/70/,,,,,,,,,,,,,,,,,,,,
73,Anadarko,http://fpso.com/fpso/?page=4,Anadarko,pigUztOx,820,Anadarko,GLOBAL PRODUCER VIII (Hai Yang Shi You 112),GLOBAL PRODUCER VIII (Hai Yang Shi You 112),2014-09-18 18:56:16.286632,FPSO,"Caofeidian 11-1, 11-2, 11-3, 11-5",China,http://fpso.com/fpso/71/,,,,,,,,,,,,,,,,,,,,
74,Sevan Marine,http://fpso.com/fpso/?page=4,ENI Agip,pigUztOx,137,Sevan Marine,GOLIAT (SEVAN 1000),GOLIAT (SEVAN 1000),2014-09-18 18:56:16.286632,FPSO,Goliat,Norway,http://fpso.com/fpso/72/,,,,,,,,,,,,,,,,,,,,
75,BP,http://fpso.com/fpso/?page=4,BP,pigUztOx,950,BP,GREATER PLUTONIO,GREATER PLUTONIO,2014-09-18 18:56:16.286632,FPSO,Block 18,Angola,http://fpso.com/fpso/73/,,,,,,,,,,,,,,,,,,,,
76,BHP Billiton,http://fpso.com/fpso/?page=4,BHP Billiton,pigUztOx,1800,BHP Billiton,GRIFFIN VENTURE,GRIFFIN VENTURE,2014-09-18 18:56:16.286632,FPSO,"Griffi n, Chinook, Scindian",Australia,http://fpso.com/fpso/74/,,,,,,,,,,,,,,,,,,,,
77,Petrobras,http://fpso.com/fpso/?page=4,Petrobras,pigUztOx,300,Petrobras,GUANAMBI I FDPSO,GUANAMBI I FDPSO,2014-09-18 18:56:16.286632,FPSO, ,Brazil,http://fpso.com/fpso/75/,,,,,,,,,,,,,,,,,,,,
78,Bluewater,http://fpso.com/fpso/?page=4,Shell,pigUztOx,626,Bluewater,HAEWENE BRIM,HAEWENE BRIM,2014-09-18 18:56:16.286632,FPSO,Pierce,United Kingdom of Great Britain and Northern Ireland,http://fpso.com/fpso/76/,,,,,,,,,,,,,,,,,,,,
79,CNOOC,http://fpso.com/fpso/?page=4,CNOOC,pigUztOx,1000,CNOOC,HAI YANG SHI YOU 111,HAI YANG SHI YOU 111,2014-09-18 18:56:16.286632,FPSO,"Panyu 4/2, 5/1",China,http://fpso.com/fpso/77/,,,,,,,,,,,,,,,,,,,,
80,CNOOC,http://fpso.com/fpso/?page=4,CNOOC,pigUztOx,1800,Chevron,HAI YANG SHI YOU 113,HAI YANG SHI YOU 113,2014-09-18 18:56:16.286632,FPSO,Bozhong 25-1,China,http://fpso.com/fpso/78/,,,,,,,,,,,,,,,,,,,,
81,CNOOC,http://fpso.com/fpso/?page=5,ConocoPhillips,pigUztOx,2000,ConocoPhillips,HAI YANG SHI YOU 117,HAI YANG SHI YOU 117,2014-09-18 18:56:16.286632,FPSO,Penglai Block 19-3 (Phase 2),China,http://fpso.com/fpso/79/,,,,,,,,,,,,,,,,,,,,
82,Ikdam Production SA,http://fpso.com/fpso/?page=5,Lundin Petroleum,pigUztOx,665,Ikdam,IKDAM,IKDAM,2014-09-18 18:56:16.286632,FPSO,Oudna,Tunisia,http://fpso.com/fpso/80/,,,,,,,,,,,,,,,,,,,,
83,Coogee,http://fpso.com/fpso/?page=5,Coogee,pigUztOx,1055,Coogee,JABIRU VENTURE,JABIRU VENTURE,2014-09-18 18:56:16.286632,FPSO,Jabiru,Australia,http://fpso.com/fpso/81/,,,,,,,,,,,,,,,,,,,,
84,MODEC,http://fpso.com/fpso/?page=5,Pearl Energy,pigUztOx,800,MODEC,JASMINE VENTURE MV7 (ex-Buffalo Venture),JASMINE VENTURE MV7 (ex-Buffalo Venture),2014-09-18 18:56:16.286632,FPSO,Jasmine,Thailand,http://fpso.com/fpso/82/,,,,,,,,,,,,,,,,,,,,
85,Bluewater,http://fpso.com/fpso/?page=5,ExxonMobil,pigUztOx,595,Bluewater,JOTUN A,JOTUN A,2014-09-18 18:56:16.286632,FPSO,Jotun,Norway,http://fpso.com/fpso/83/,,,,,,,,,,,,,,,,,,,,
86,MODEC,http://fpso.com/fpso/?page=5,ullow,pigUztOx,1600,MODEC T,JUBILEE,JUBILEE,2014-09-18 18:56:16.286632,FPSO,Tano Basin,Ghana,http://fpso.com/fpso/84/,,,,,,,,,,,,,,,,,,,,
87,MODEC,http://fpso.com/fpso/?page=5,ConocoPhillips,pigUztOx,760,ConocoPhillips,KAKAP NATUNA,KAKAP NATUNA,2014-09-18 18:56:16.286632,FPSO,Kakap KH,Indonesia,http://fpso.com/fpso/85/,,,,,,,,,,,,,,,,,,,,
88,Kerr McGee,http://fpso.com/fpso/?page=5, ,pigUztOx,50,Kerr McGee,Kerr-McGee Global Producer III,Kerr-McGee Global Producer III,2014-09-18 18:56:16.286632,FPSO,Leadon Field, ,http://fpso.com/fpso/188/,,,,,,,,,,,,,,,,,,,,
89,JV - SBMO/ Partner,http://fpso.com/fpso/?page=5,Murphy Oil Sabah,pigUztOx,2000,SBMO+JV Partner,KIKEH,KIKEH,2014-09-18 18:56:16.286632,FPSO,Kikeh,Malaysia,http://fpso.com/fpso/86/,,,,,,,,,,,,,,,,,,,,
90,ExxonMobil,http://fpso.com/fpso/?page=5,ExxonMobil,pigUztOx,2200,ExxonMobil,"KIZOMBA ""A""","KIZOMBA ""A""",2014-09-18 18:56:16.286632,FPSO,"Hungo, Chocalho",Angola,http://fpso.com/fpso/87/,,,,,,,,,,,,,,,,,,,,
91,ExxonMobil,http://fpso.com/fpso/?page=5,ExxonMobil,pigUztOx,940,ExxonMobil,"KIZOMBA ""B""","KIZOMBA ""B""",2014-09-18 18:56:16.286632,FPSO,"Kissanje, Dikanza",Angola,http://fpso.com/fpso/88/,,,,,,,,,,,,,,,,,,,,
92,Fred.Olsen Production,http://fpso.com/fpso/?page=5,Addax Petroleum,pigUztOx,1700,Fred.Olsen,KNOCK ADOON,KNOCK ADOON,2014-09-18 18:56:16.286632,FPSO,Antan,Nigeria,http://fpso.com/fpso/89/,,,,,,,,,,,,,,,,,,,,
93,Fred.Olsen Production,http://fpso.com/fpso/?page=5,CNRL International,pigUztOx,1300,Fred.Olsen,KNOCK ALLAN,KNOCK ALLAN,2014-09-18 18:56:16.286632,FPSO,Olowi,Gabon,http://fpso.com/fpso/90/,,,,,,,,,,,,,,,,,,,,
94,Fred.Olsen Production,http://fpso.com/fpso/?page=5,GGPC,pigUztOx,1040,Fred.Olsen,KNOCK TAGGART,KNOCK TAGGART,2014-09-18 18:56:16.286632,FPSO, , ,http://fpso.com/fpso/91/,,,,,,,,,,,,,,,,,,,,
95,JV - SBMO/ Partner,http://fpso.com/fpso/?page=5,Chevron,pigUztOx,1400,SBMO+JV Partner,KUITO,KUITO,2014-09-18 18:56:16.286632,FPSO,Kuito,Angola,http://fpso.com/fpso/92/,,,,,,,,,,,,,,,,,,,,
96,Emas,http://fpso.com/fpso/?page=5,PTTEP,pigUztOx, , ,LEWEK ARUNOTHAI,LEWEK ARUNOTHAI,2014-09-18 18:56:16.286632,FPSO,Arthit,Thailand,http://fpso.com/fpso/93/,,,,,,,,,,,,,,,,,,,,
97,Maersk,http://fpso.com/fpso/?page=5,Shell,pigUztOx,560,Maersk,MAERSK CURLEW,MAERSK CURLEW,2014-09-18 18:56:16.286632,FPSO,"Curlew, Kyle",United Kingdom of Great Britain and Northern Ireland,http://fpso.com/fpso/94/,,,,,,,,,,,,,,,,,,,,
